DC,Channel,Url,Vaild
Cool Cats,shill-me-baby,https://discord.com/channels/845608239013167104/860956086084173834,TRUE
GhostsProject,shill-zone,https://discord.com/channels/872721424358461461/935782651883847770,TRUE
SPACE APE PROGRAM,shills,https://discord.com/channels/915002020581212171/932343676607291392,TRUE
Shark Doo Doo,shill,https://discord.com/channels/932799902344413325/940373896140558346,TRUE
AV Yacht Club,shill-zone,https://discord.com/channels/895618419616006174/895731272612216875,TRUE
ALPACADABRAZ,shilling,https://discord.com/channels/889935093324472400/892731422513713222,TRUE
SBD,shill,https://discord.com/channels/915501223044595712/928898525276819526,TRUE
AstroGator Fam,shill,https://discord.com/channels/868534041987665921/890993828100730930,TRUE
The Billionaire Bunker,shill,https://discord.com/channels/896723474935083018/896723475203493905,TRUE
DEMI,shilling,https://discord.com/channels/888011167069503518/929212252932939796,TRUE
Meta Tycoon,just-shill,https://discord.com/channels/892740878161035314/892756481160663060,TRUE
SharkBoyFightClub,ch-shillings,https://discord.com/channels/912809898893520987/921662758800486450,TRUE
Shonen Junk,shuriken-shills,https://discord.com/channels/910741987232210974/910750441145503805,TRUE
Shakesbit,wl-help,https://discord.com/channels/886165542203977758/934663144620580864,TRUE
CryptoWilson,nft-invites,https://discord.com/channels/932201815234195457/932206080338047007,TRUE
RedCat DAO,invites,https://discord.com/channels/905992765710688276/932516183326998598,TRUE
HL Family,shares,https://discord.com/channels/877588454001745981/924859093573840936,TRUE
Fortune Friends,shill-text,https://discord.com/channels/916112318633496576/937120475509846097,TRUE
NFT wl,nft-invites,https://discord.com/channels/932102455553052752/932118385741942834,TRUE
WWL,shill-yo-shit,https://discord.com/channels/932844985399779348/935771355532652604,TRUE
Emperor,invites,https://discord.com/channels/926721329007329341/932637907406192692,TRUE
WL CHANNEL NFT,nft-invites,https://discord.com/channels/932622402490359838/942407095062528031,TRUE
wl helpful,shill,https://discord.com/channels/939018725414273074/944246365708488745,TRUE
BLOCK COLONY,nft-advertisting,https://discord.com/channels/279502899698991104/931482442383114261,TRUE
LoreneJen,shillzone,https://discord.com/channels/927859186006626347/933283701150842880,TRUE
KAI XUAN,shill,https://discord.com/channels/910740337499181076/923921615216066600,TRUE
CryptoPaul,shillzone,https://discord.com/channels/935041097594441770/935041219548041216,TRUE
